timestamp,symbol,option_type,strike,latest_trade_price,latest_quote_bid,latest_quote_ask,implied_volatility,spy_price
2025-07-11 13:14:00.224815,SPY250711C00625000,call,625.0,0.355,0.35,0.36,0.02172097384093482,624.49
2025-07-11 13:14:00.440463,SPY250711C00624000,call,624.0,0.87,0.84,0.9,0.02325061988607052,624.49
2025-07-11 13:14:00.440538,SPY250711C00630000,call,630.0,0.035,0.03,0.04,0.0021415044631907573,624.49
2025-07-11 13:14:00.440576,SPY250711P00618000,put,618.0,0.045,0.04,0.05,0.002753362881245259,624.49
2025-07-11 13:14:00.440605,SPY250711P00627000,put,627.0,2.545,2.54,2.55,0.0021415044631913093,624.49
2025-07-11 13:14:00.441046,SPY250711P00631000,put,631.0,6.484999999999999,6.41,6.56,,624.49
2025-07-11 13:14:00.484565,SPY250711C00626000,call,626.0,0.10500000000000001,0.08,0.13,0.006424513389572272,624.49
2025-07-11 13:14:00.488362,SPY250711P00620000,put,620.0,0.065,0.06,0.07,0.003977079717354263,624.49
2025-07-11 13:14:00.507359,SPY250711C00620000,call,620.0,4.55,4.52,4.58,0.003671150508326445,624.49
2025-07-11 13:14:00.550974,SPY250711P00624000,put,624.0,0.355,0.35,0.36,0.02172097384093482,624.49
2025-07-11 13:14:00.557164,SPY250711P00625000,put,625.0,0.8200000000000001,0.81,0.83,0.018967610959690122,624.49
2025-07-11 13:14:00.941151,SPY250711C00623000,call,623.0,1.685,1.67,1.7,0.011931239152062236,624.49
2025-07-11 13:14:00.944858,SPY250711P00623000,put,623.0,0.185,0.18,0.19,0.011319380734008287,624.49
2025-07-11 13:14:01.076034,SPY250711C00621000,call,621.0,3.58,3.55,3.61,0.005506725762489966,624.49
2025-07-11 13:14:01.193026,SPY250711P00621000,put,621.0,0.08499999999999999,0.08,0.09,0.005200796553463267,624.49
2025-07-11 13:14:01.194939,SPY250711P00626000,put,626.0,1.63,1.6,1.66,0.007342301016654574,624.49
2025-07-11 13:14:01.194986,SPY250711C00622000,call,622.0,2.585,2.58,2.59,0.005812654971517211,624.49
2025-07-11 13:14:01.195018,SPY250711C00618000,call,618.0,6.494999999999999,6.43,6.56,0.0003059292090266467,624.49
2025-07-11 13:14:01.197113,SPY250711P00622000,put,622.0,0.07500000000000001,0.07,0.08,0.004588938135408766,624.49
2025-07-11 13:14:01.199245,SPY250711P00628000,put,628.0,3.5300000000000002,3.44,3.62,0.0012237168361095758,624.49
2025-07-11 13:14:01.199308,SPY250711C00619000,call,619.0,5.58,5.55,5.61,0.005506725762489966,624.49
2025-07-11 13:14:01.204034,SPY250711C00629000,call,629.0,0.035,0.03,0.04,0.0021415044631907573,624.49
2025-07-11 13:14:01.206010,SPY250711C00631000,call,631.0,0.005,0.0,0.01,0.000305929209027251,624.49
2025-07-11 13:14:01.206056,SPY250711C00628000,call,628.0,0.025,0.01,0.04,0.0015296460451362552,624.49
2025-07-11 13:14:01.207820,SPY250711C00627000,call,627.0,0.055,0.05,0.06,0.003365221299299761,624.49
2025-07-11 13:14:01.211058,SPY250711P00629000,put,629.0,4.515000000000001,4.4,4.63,0.00030592920902784227,624.49
2025-07-11 13:14:01.213083,SPY250711P00619000,put,619.0,0.034999999999999996,0.01,0.06,0.002141504463190757,624.49
2025-07-11 13:14:01.233008,SPY250711C00625000,call,625.0,0.365,0.36,0.37,0.022332832258989323,624.49
